Targeted cw attack
Avg Accuracy, 76 %
Accuracy of 0, 90 %
Accuracy of 1, 94 %
Accuracy of 2, 81 %
Accuracy of 3, 100 %
Accuracy of 4, 72 %
Accuracy of 5, 80 %
Accuracy of 6, 70 %
Accuracy of 7, 89 %
Accuracy of 8,  7 %
Accuracy of 9, 60 %
